teamName,firstName,lastName,primaryPosition,pitcherRole,power,contact,speed,fielding,arm,velocity,junk,accuracy,age,trait,subType,battingOrder,baseballPlayerLocalID,optionKey,optionValue,optionType
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,0,0,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,0,0,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,4,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,4,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,5,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,5,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,8,6,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,8,6,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,12,11,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,12,11,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,14,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,14,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,15,17,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,15,17,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,16,14,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,16,14,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,17,11,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,17,11,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,18,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,18,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,19,2,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,19,2,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,20,12,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,20,12,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,22,3,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,22,3,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,25,0,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,25,0,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,26,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,26,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,27,3,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,27,3,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,7,347,28,1,0
Wideloads,Fungo,Accuro,8,,38,97,72,58,35,,,,36,,,8,347,28,1,0
